Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
21/4/21,Juan Musso,Serie A,Matchweek 32,Home,L 0–1,Udinese,Cagliari,Y,GK,90,3,1,3,100,0,1,1,1,0,0,1,4,25,15,4,20,25.1,9,11.1,17.8,9,0,0,0,8
25/4/21,Juan Musso,Serie A,Matchweek 33,Away,W 4–2,Udinese,Benevento,Y,GK,90,6,2,5,83.3,0,3.1,1,1,0,0,4,13,30.8,21,8,38.1,38.8,7,71.4,51.9,18,5,27.8,1,16
8/5/21,Juan Musso,Serie A,Matchweek 35,Home,D 1–1,Udinese,Bologna,Y,GK,90,3,1,3,100,0,1.4,1,1,0,0,5,15,33.3,14,1,71.4,44.7,14,35.7,34.6,7,0,0,0,15
11/5/21,Juan Musso,Serie A,Matchweek 36,Away,L 1–5,Udinese,Napoli,Y,GK,90,9,5,4,44.4,0,3.4,0,0,0,0,3,7,42.9,23,6,21.7,30.5,9,22.2,24.8,7,0,0,0,11.8
16/5/21,Juan Musso,Serie A,Matchweek 37,Home,L 0–1,Udinese,Sampdoria,Y,GK,90,6,1,6,100,0,1.9,1,1,0,0,2,9,22.2,23,8,34.8,32.7,8,12.5,22.9,9,1,11.1,0,11.8
21/9/20,Łukasz Skorupski,Serie A,Matchweek 1,Away,L 0–2,Bologna,Milan,Y,GK,90,4,2,3,75,0,1.3,1,1,0,0,12,21,57.1,34,3,52.9,37.6,10,30,32.5,8,0,0,0,14.8
28/9/20,Łukasz Skorupski,Serie A,Matchweek 2,Home,W 4–1,Bologna,Parma,Y,GK,90,3,1,2,66.7,0,1,0,0,0,0,5,12,41.7,34,4,32.4,33.4,5,20,19.6,8,1,12.5,1,13.1
4/10/20,Łukasz Skorupski,Serie A,Matchweek 3,Away,L 0–1,Bologna,Benevento,Y,GK,90,2,1,1,50,0,1.3,0,0,0,0,2,6,33.3,22,2,27.3,28.8,4,0,15.8,3,2,66.7,1,19.3
18/10/20,Łukasz Skorupski,Serie A,Matchweek 4,Home,L 3–4,Bologna,Sassuolo,Y,GK,90,13,4,10,69.2,0,3.4,0,0,0,0,9,23,39.1,23,3,69.6,44,11,63.6,42.1,4,1,25,0,13
24/10/20,Łukasz Skorupski,Serie A,Matchweek 5,Away,L 1–2,Bologna,Lazio,Y,GK,90,4,2,2,50,0,1.3,0,0,0,0,1,5,20,20,5,20,30.1,3,33.3,23,7,1,14.3,1,21
31/10/20,Łukasz Skorupski,Serie A,Matchweek 6,Home,W 3–2,Bologna,Cagliari,Y,GK,90,3,2,1,33.3,0,1,0,0,0,0,3,7,42.9,26,5,19.2,27.2,7,28.6,24.4,8,0,0,1,13
