Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
6/1/21,Lorenzo Montipò,Serie A,Matchweek 16,Away,W 2–1,Benevento,Cagliari,Y,GK,90,5,1,4,80,0,1.2,0,0,0,0,10,24,41.7,27,1,59.3,44.2,11,72.7,51.5,15,0,0,0,8.7
9/1/21,Lorenzo Montipò,Serie A,Matchweek 17,Home,L 1–4,Benevento,Atalanta,Y,GK,90,12,4,8,66.7,0,4.9,0,0,0,0,10,24,41.7,29,3,51.7,42.2,11,81.8,48.2,6,0,0,0,11.7
17/1/21,Lorenzo Montipò,Serie A,Matchweek 18,Away,L 1–4,Benevento,Crotone,Y,GK,90,3,4,0,-33.3,0,1.4,0,0,0,0,2,7,28.6,16,1,43.8,37.4,7,0,18.1,2,0,0,0,
22/1/21,Lorenzo Montipò,Serie A,Matchweek 19,Home,D 2–2,Benevento,Torino,Y,GK,90,5,2,3,60,0,1.4,0,0,0,0,5,19,26.3,28,3,50,42.1,9,55.6,38.4,19,3,15.8,0,14
30/1/21,Lorenzo Montipò,Serie A,Matchweek 20,Away,L 0–4,Benevento,Inter,Y,GK,90,6,4,3,33.3,0,2.4,0,0,0,0,2,9,22.2,29,5,31,33.9,3,0,18.3,14,1,7.1,0,6
7/2/21,Lorenzo Montipò,Serie A,Matchweek 21,Home,D 1–1,Benevento,Sampdoria,Y,GK,90,6,1,5,83.3,0,2.1,0,0,0,0,9,25,36,29,7,75.9,54.1,6,50,43.8,25,3,12,2,15.5
12/2/21,Lorenzo Montipò,Serie A,Matchweek 22,Away,D 1–1,Benevento,Bologna,Y,GK,90,2,1,1,50,0,1.8,0,0,0,0,6,14,42.9,25,5,36,33.9,6,83.3,46.5,10,2,20,1,13
21/2/21,Lorenzo Montipò,Serie A,Matchweek 23,Home,D 0–0,Benevento,Roma,Y,GK,90,3,0,3,100,1,0.4,0,0,0,0,9,23,39.1,27,5,66.7,49,8,62.5,46,18,1,5.6,0,7.7
28/2/21,Lorenzo Montipò,Serie A,Matchweek 24,Away,L 0–2,Benevento,Napoli,Y,GK,90,5,2,3,60,0,1.8,0,0,0,0,4,20,20,36,7,41.7,35.9,12,41.7,36.8,13,4,30.8,0,9.4
3/3/21,Lorenzo Montipò,Serie A,Matchweek 25,Home,L 0–3,Benevento,Hellas Verona,Y,GK,90,5,3,2,40,0,2.1,0,0,0,0,5,21,23.8,37,6,51.4,41.3,5,40,35.6,11,0,0,0,11.4
6/3/21,Lorenzo Montipò,Serie A,Matchweek 26,Away,D 1–1,Benevento,Spezia,Y,GK,90,3,1,2,66.7,0,1.1,0,0,0,0,8,29,27.6,21,0,90.5,62.7,10,100,71.4,16,1,6.3,1,16
13/3/21,Lorenzo Montipò,Serie A,Matchweek 27,Home,L 1–4,Benevento,Fiorentina,Y,GK,90,5,4,1,20,0,2.7,0,0,0,0,3,10,30,20,4,50,39.7,3,0,22,9,1,11.1,0,12.5
21/3/21,Lorenzo Montipò,Serie A,Matchweek 28,Away,W 1–0,Benevento,Juventus,Y,GK,90,7,0,7,100,1,1.1,0,0,0,0,5,30,16.7,20,2,90,57.5,12,100,68.3,20,1,5,0,15.3
3/4/21,Lorenzo Montipò,Serie A,Matchweek 29,Home,D 2–2,Benevento,Parma,Y,GK,90,6,2,4,66.7,0,2,0,0,0,0,6,21,28.6,12,2,83.3,55.5,11,100,69.1,15,2,13.3,1,21.7
12/4/21,Lorenzo Montipò,Serie A,Matchweek 30,Home,L 0–1,Benevento,Sassuolo,Y,GK,90,5,1,4,80,0,0.3,0,0,0,0,2,19,10.5,24,5,58.3,44,10,50,38.4,4,0,0,2,16.8
18/4/21,Lorenzo Montipò,Serie A,Matchweek 31,Away,L 3–5,Benevento,Lazio,Y,GK,90,5,5,3,20,0,3.2,2,1,1,0,3,11,27.3,18,5,38.9,34.7,7,57.1,50.1,10,1,10,1,20
21/4/21,Lorenzo Montipò,Serie A,Matchweek 32,Away,D 2–2,Benevento,Genoa,Y,GK,90,5,2,3,60,0,1.8,0,0,0,0,15,31,48.4,35,6,77.1,49.8,4,100,66.8,12,3,25,2,18.1
25/4/21,Lorenzo Montipò,Serie A,Matchweek 33,Home,L 2–4,Benevento,Udinese,Y,GK,90,5,4,1,20,0,1.5,0,0,0,0,2,7,28.6,23,8,26.1,24.6,4,25,28,5,1,20,1,15
1/5/21,Lorenzo Montipò,Serie A,Matchweek 34,Away,L 0–2,Benevento,Milan,Y,GK,90,11,2,9,81.8,0,2.4,0,0,0,0,6,17,35.3,22,5,54.5,42.9,7,71.4,58.9,5,1,20,0,19
9/5/21,Lorenzo Montipò,Serie A,Matchweek 35,Home,L 1–3,Benevento,Cagliari,Y,GK,90,3,3,0,0,0,2.3,0,0,0,0,2,9,22.2,20,3,40,38.9,3,33.3,34.3,8,2,25,2,16.2
12/5/21,Lorenzo Montipò,Serie A,Matchweek 36,Away,L 0–2,Benevento,Atalanta,Y,GK,90,4,2,2,50,0,1.8,0,0,0,0,8,21,38.1,22,4,54.5,42.3,9,100,65.4,9,2,22.2,2,20.4
16/5/21,Lorenzo Montipò,Serie A,Matchweek 37,Home,D 1–1,Benevento,Crotone,Y,GK,90,2,1,1,50,0,1.1,0,0,0,0,2,7,28.6,24,7,25,30.2,3,33.3,35.3,6,2,33.3,1,22
30/9/20,Jeroen Zoet,Serie A,Matchweek 1,Away,W 2–0,Spezia,Udinese,Y,GK,63,0,0,0,,1,0,0,0,0,0,1,7,14.3,26,2,23.1,32.2,3,33.3,45.3,6,0,0,0,7.7
27/9/20,Jeroen Zoet,Serie A,Matchweek 2,Home,L 1–4,Spezia,Sassuolo,Y,GK,90,5,4,2,40,0,3,1,1,0,0,8,13,61.5,26,9,46.2,33.8,5,20,22,10,0,0,0,8.3
6/3/21,Jeroen Zoet,Serie A,Matchweek 26,Home,D 1–1,Spezia,Benevento,Y,GK,90,2,1,1,50,0,0.4,0,0,0,0,3,4,75,36,9,11.1,27.4,6,0,16.3,8,2,25,2,18
12/3/21,Jeroen Zoet,Serie A,Matchweek 27,Away,L 1–3,Spezia,Atalanta,Y,GK,90,7,3,4,57.1,0,2.6,0,0,0,0,11,26,42.3,65,6,38.5,35.3,4,25,34.8,5,1,20,2,18.4
20/3/21,Jeroen Zoet,Serie A,Matchweek 28,Home,W 2–1,Spezia,Cagliari,Y,GK,90,7,1,6,85.7,0,2.8,0,0,0,0,16,31,51.6,54,7,53.7,44.3,3,66.7,48,11,1,9.1,0,14.9
3/4/21,Jeroen Zoet,Serie A,Matchweek 29,Away,L 1–2,Spezia,Lazio,Y,GK,90,4,2,3,75,0,1.6,1,1,0,0,11,22,50,33,5,54.5,44,5,80,57.8,3,0,0,2,18.7
15/5/21,Jeroen Zoet,Serie A,Matchweek 37,Home,W 4–1,Spezia,Torino,Y,GK,90,1,1,1,100,0,1.2,1,1,0,0,6,25,24,36,8,58.3,44.3,4,100,72,17,2,11.8,2,14.9
30/9/20,Rafael,Serie A,Matchweek 1,Away,W 2–0,Spezia,Udinese,N,GK,27,4,0,4,100,1,0.4,0,0,0,0,2,5,40,9,2,44.4,35,5,20,31.6,11,0,0,0,5
4/10/20,Rafael,Serie A,Matchweek 3,Away,L 0–3,Spezia,Milan,Y,GK,90,5,3,2,40,0,1.2,0,0,0,0,9,20,45,37,5,51.4,38.4,6,16.7,22.3,12,1,8.3,0,9
21/3/21,Pietro Terracciano,Serie A,Matchweek 28,Home,L 2–3,Fiorentina,Milan,N,GK,47,2,2,0,0,0,1.5,0,0,0,0,8,15,53.3,12,2,83.3,51.3,6,83.3,51.2,5,0,0,0,7.7
12/5/21,Pietro Terracciano,Serie A,Matchweek 36,Away,D 0–0,Fiorentina,Cagliari,N,GK,45,0,0,0,,1,0,0,0,0,0,5,13,38.5,14,3,71.4,53.4,3,100,72,13,0,0,0,18.5
16/5/21,Pietro Terracciano,Serie A,Matchweek 37,Home,L 0–2,Fiorentina,Napoli,Y,GK,90,5,2,4,60,0,1.1,1,0,1,0,9,22,40.9,18,4,61.1,48.4,11,100,65.5,10,0,0,0,13.6
24/10/20,Pepe Reina,Serie A,Matchweek 5,Home,W 2–1,Lazio,Bologna,Y,GK,90,6,1,5,83.3,0,2.1,0,0,0,0,10,24,41.7,42,0,52.4,37.3,5,40,32.2,7,0,0,0,23
1/11/20,Pepe Reina,Serie A,Matchweek 6,Away,W 4–3,Lazio,Torino,Y,GK,90,3,3,1,33.3,0,2,1,1,0,0,1,3,33.3,17,4,11.8,25,5,20,24,4,0,0,1,18
8/11/20,Pepe Reina,Serie A,Matchweek 7,Home,D 1–1,Lazio,Juventus,Y,GK,90,5,1,4,80,0,1.4,0,0,0,0,9,10,90,26,4,34.6,35.8,7,14.3,24,3,0,0,1,26.3
21/11/20,Pepe Reina,Serie A,Matchweek 8,Away,W 2–0,Lazio,Crotone,Y,GK,90,4,0,4,100,1,0.1,0,0,0,0,9,20,45,18,4,72.2,46.3,11,63.6,39.5,16,2,12.5,0,11.2
5/12/20,Pepe Reina,Serie A,Matchweek 10,Away,W 2–1,Lazio,Spezia,Y,GK,90,4,1,2,75,0,1.3,0,0,0,0,7,19,36.8,40,4,42.5,35.6,7,28.6,29,8,0,0,1,10.8
12/12/20,Pepe Reina,Serie A,Matchweek 11,Home,L 1–2,Lazio,Hellas Verona,Y,GK,90,4,2,3,50,0,1.2,0,0,0,0,11,28,39.3,67,7,41.8,36.4,1,0,21,4,0,0,0,14.9
15/12/20,Pepe Reina,Serie A,Matchweek 12,Away,D 1–1,Lazio,Benevento,Y,GK,90,6,1,5,83.3,0,1.9,0,0,0,0,2,3,66.7,19,3,10.5,25.5,3,33.3,31.3,5,1,20,0,21
20/12/20,Pepe Reina,Serie A,Matchweek 13,Home,W 2–0,Lazio,Napoli,Y,GK,90,6,0,6,100,1,1.2,0,0,0,0,8,16,50,35,3,42.9,36.7,6,16.7,20.5,9,0,0,2,22
23/12/20,Pepe Reina,Serie A,Matchweek 14,Away,L 2–3,Lazio,Milan,Y,GK,90,4,3,2,50,0,2.1,1,1,0,0,6,8,75,37,6,18.9,27.3,6,16.7,24.7,5,1,20,0,12.7
3/1/21,Pepe Reina,Serie A,Matchweek 15,Away,D 1–1,Lazio,Genoa,Y,GK,90,3,1,2,66.7,0,0.6,0,0,0,0,9,15,60,40,2,35,34.9,3,33.3,19,10,1,10,0,9.5
10/1/21,Pepe Reina,Serie A,Matchweek 17,Away,W 2–0,Lazio,Parma,Y,GK,90,3,0,3,100,1,1,0,0,0,0,4,7,57.1,36,4,16.7,24.9,4,25,24,3,1,33.3,0,21
15/1/21,Pepe Reina,Serie A,Matchweek 18,Home,W 3–0,Lazio,Roma,Y,GK,90,2,0,2,100,1,0.8,0,0,0,0,9,24,37.5,43,3,51.2,41.3,5,40,31.6,9,0,0,0,12
24/1/21,Pepe Reina,Serie A,Matchweek 19,Home,W 2–1,Lazio,Sassuolo,Y,GK,90,1,1,0,0,0,0.7,0,0,0,0,8,15,53.3,45,8,28.9,31.5,5,40,32.4,4,0,0,0,15.5
31/1/21,Pepe Reina,Serie A,Matchweek 20,Away,W 3–1,Lazio,Atalanta,Y,GK,90,2,1,1,50,0,1,0,0,0,0,17,36,47.2,53,3,64.2,46.3,3,66.7,44,12,0,0,1,14.8
7/2/21,Pepe Reina,Serie A,Matchweek 21,Home,W 1–0,Lazio,Cagliari,Y,GK,90,2,0,2,100,1,0.3,0,0,0,0,3,9,33.3,30,4,30,34.7,4,0,30,5,0,0,2,31.8
14/2/21,Pepe Reina,Serie A,Matchweek 22,Away,L 1–3,Lazio,Inter,Y,GK,90,6,3,4,66.7,0,2.3,1,1,0,0,2,6,33.3,28,6,17.9,28.1,3,33.3,40.7,1,0,0,0,10.5
20/2/21,Pepe Reina,Serie A,Matchweek 23,Home,W 1–0,Lazio,Sampdoria,Y,GK,90,0,0,0,,1,0,0,0,0,0,7,15,46.7,39,4,35.9,34.2,3,33.3,37,18,0,0,1,14.5
27/2/21,Pepe Reina,Serie A,Matchweek 24,Away,L 0–2,Lazio,Bologna,Y,GK,90,6,2,4,66.7,0,1.8,0,0,0,0,1,7,14.3,32,6,18.8,27.9,3,33.3,31,4,0,0,0,8.3
6/3/21,Pepe Reina,Serie A,Matchweek 26,Away,L 1–3,Lazio,Juventus,Y,GK,90,4,3,2,50,0,2.2,1,1,0,0,5,10,50,27,4,37,33.7,4,0,14.8,12,0,0,0,8.3
12/3/21,Pepe Reina,Serie A,Matchweek 27,Home,W 3–2,Lazio,Crotone,Y,GK,90,2,2,1,50,0,1.5,1,1,0,0,3,7,42.9,18,1,33.3,32.7,4,25,25.5,5,1,20,0,15.7
21/3/21,Pepe Reina,Serie A,Matchweek 28,Away,W 1–0,Lazio,Udinese,Y,GK,90,3,0,3,100,1,0.2,0,0,0,0,3,8,37.5,28,2,17.9,28.1,8,37.5,34.1,14,0,0,0,9
3/4/21,Pepe Reina,Serie A,Matchweek 29,Home,W 2–1,Lazio,Spezia,Y,GK,90,2,1,1,50,0,0.7,0,0,0,0,7,13,53.8,38,4,34.2,32.5,3,0,19,7,0,0,0,21
11/4/21,Pepe Reina,Serie A,Matchweek 30,Away,W 1–0,Lazio,Hellas Verona,Y,GK,90,0,0,0,,1,0,0,0,0,0,9,18,50,52,3,34.6,35.7,2,0,18,4,0,0,2,18.8
18/4/21,Pepe Reina,Serie A,Matchweek 31,Home,W 5–3,Lazio,Benevento,Y,GK,90,6,3,4,66.7,0,2.2,1,1,0,0,8,8,100,35,8,20,27.4,8,12.5,22.3,14,3,21.4,0,17.5
22/4/21,Pepe Reina,Serie A,Matchweek 32,Away,L 2–5,Lazio,Napoli,Y,GK,90,7,5,3,42.9,0,3.3,1,1,0,0,2,3,66.7,21,4,14.3,28,2,0,15,2,0,0,1,10.7
26/4/21,Pepe Reina,Serie A,Matchweek 33,Home,W 3–0,Lazio,Milan,Y,GK,90,5,0,5,100,1,0.5,0,0,0,0,14,25,56,38,7,50,41.6,8,75,50.3,10,0,0,0,13.6
2/5/21,Pepe Reina,Serie A,Matchweek 34,Home,W 4–3,Lazio,Genoa,Y,GK,90,4,3,3,50,0,1.4,1,1,0,0,7,10,70,30,5,33.3,38.3,5,0,21.8,11,0,0,0,10.7
8/5/21,Pepe Reina,Serie A,Matchweek 35,Away,L 0–2,Lazio,Fiorentina,Y,GK,90,4,2,2,50,0,1.4,0,0,0,0,5,5,100,15,4,20,30.9,4,50,33.8,5,0,0,0,12.7
15/5/21,Pepe Reina,Serie A,Matchweek 37,Away,L 0–2,Lazio,Roma,Y,GK,90,2,2,0,0,0,0.8,0,0,0,0,10,11,90.9,30,5,26.7,33.4,9,33.3,27,7,1,14.3,0,12
7/4/21,Gianluigi Buffon,Serie A,Matchweek 3,Home,W 2–1,Juventus,Napoli,Y,GK,90,3,1,3,100,0,1,1,1,0,0,6,12,50,35,6,28.6,33.8,8,25,31.8,12,1,8.3,0,8.4
17/10/20,Gianluigi Buffon,Serie A,Matchweek 4,Away,D 1–1,Juventus,Crotone,Y,GK,90,2,1,2,100,0,1.1,1,1,0,0,5,9,55.6,26,7,26.9,34.7,8,25,27.6,10,0,0,2,15.7
1/11/20,Gianluigi Buffon,Serie A,Matchweek 6,Away,W 4–1,Juventus,Spezia,Y,GK,90,3,1,2,66.7,0,1,0,0,0,0,2,8,25,31,5,25.8,27.6,12,0,11.7,9,0,0,2,19.2
21/11/20,Gianluigi Buffon,Serie A,Matchweek 8,Home,W 2–0,Juventus,Cagliari,Y,GK,90,0,0,0,,1,0,0,0,0,0,3,5,60,25,2,16,23.3,8,12.5,20,2,0,0,0,10.3
19/12/20,Gianluigi Buffon,Serie A,Matchweek 13,Away,W 4–0,Juventus,Parma,Y,GK,90,4,0,4,100,1,0.3,0,0,0,0,0,1,0,21,5,4.8,21.8,5,0,17.2,12,0,0,1,8
22/2/21,Gianluigi Buffon,Serie A,Matchweek 23,Home,W 3–0,Juventus,Crotone,Y*,GK,90,2,0,2,100,1,0.2,0,0,0,0,4,11,36.4,37,7,27,29.8,4,25,29,11,1,9.1,0,15.3
21/4/21,Gianluigi Buffon,Serie A,Matchweek 32,Home,W 3–1,Juventus,Parma,Y,GK,90,1,1,0,0,0,0.4,0,0,0,0,5,9,55.6,41,6,14.6,27.7,6,50,35.5,12,0,0,0,15.5
12/5/21,Gianluigi Buffon,Serie A,Matchweek 36,Away,W 3–1,Juventus,Sassuolo,Y,GK,90,2,1,1,50,0,0.9,1,0,1,0,8,19,42.1,26,6,50,39.7,11,54.5,41.9,13,0,0,0,14.3
20/9/20,Alex Cordaz,Serie A,Matchweek 1,Away,L 1–4,Crotone,Genoa,Y*,GK,90,6,4,2,33.3,0,2.2,0,0,0,0,2,5,40,20,3,15,25.7,6,33.3,26.8,5,1,20,0,16.8
27/9/20,Alex Cordaz,Serie A,Matchweek 2,Home,L 0–2,Crotone,Milan,Y*,GK,90,5,2,3,80,0,2.4,1,1,0,0,5,12,41.7,29,5,34.5,32.8,8,25,28.1,5,0,0,2,20.8
3/10/20,Alex Cordaz,Serie A,Matchweek 3,Away,L 1–4,Crotone,Sassuolo,Y*,GK,90,3,4,0,0,0,3.2,1,1,0,0,3,7,42.9,22,6,31.8,30.8,4,0,15.5,1,0,0,1,17.5
17/10/20,Alex Cordaz,Serie A,Matchweek 4,Home,D 1–1,Crotone,Juventus,Y*,GK,90,2,1,1,50,0,1.3,0,0,0,0,1,8,12.5,28,3,25,28,6,16.7,22.3,10,0,0,1,14.7
25/10/20,Alex Cordaz,Serie A,Matchweek 5,Away,L 2–4,Crotone,Cagliari,Y*,GK,90,8,4,4,50,0,2.8,0,0,0,0,6,11,54.5,50,3,18,26.1,9,22.2,23.6,7,0,0,1,12.8
31/10/20,Alex Cordaz,Serie A,Matchweek 6,Home,L 1–2,Crotone,Atalanta,Y*,GK,90,6,2,4,66.7,0,2.4,0,0,0,0,8,16,50,41,2,34.1,28.9,18,11.1,23.7,10,1,10,0,10.8
8/11/20,Alex Cordaz,Serie A,Matchweek 7,Away,D 0–0,Crotone,Torino,Y*,GK,90,0,0,0,,1,0,0,0,0,0,5,10,50,30,4,26.7,28.9,7,28.6,36.6,6,0,0,1,19.5
21/11/20,Alex Cordaz,Serie A,Matchweek 8,Home,L 0–2,Crotone,Lazio,Y*,GK,90,9,2,7,77.8,0,2.1,0,0,0,0,4,14,28.6,20,4,55,41.1,6,50,36.5,8,0,0,2,19.1
29/11/20,Alex Cordaz,Serie A,Matchweek 9,Away,L 0–1,Crotone,Bologna,Y*,GK,90,7,1,6,85.7,0,1.6,0,0,0,0,5,13,38.5,24,4,45.8,37.7,7,28.6,20.7,11,0,0,0,8
6/12/20,Alex Cordaz,Serie A,Matchweek 10,Home,L 0–4,Crotone,Napoli,Y*,GK,90,6,4,2,33.3,0,3,0,0,0,0,6,10,60,29,3,31,32.2,5,20,24.4,7,0,0,3,21
12/12/20,Alex Cordaz,Serie A,Matchweek 11,Home,W 4–1,Crotone,Spezia,Y*,GK,90,5,1,4,80,0,0.9,0,0,0,0,11,29,37.9,52,5,48.1,35.1,9,44.4,34.7,6,0,0,1,16.7
15/12/20,Alex Cordaz,Serie A,Matchweek 12,Away,D 0–0,Crotone,Udinese,Y*,GK,90,6,0,6,100,1,0.8,0,0,0,0,4,13,30.8,36,6,33.3,31.7,9,11.1,19.6,8,0,0,1,14.2
19/12/20,Alex Cordaz,Serie A,Matchweek 13,Away,L 1–3,Crotone,Sampdoria,Y*,GK,90,4,3,1,25,0,1.8,0,0,0,0,7,18,38.9,37,3,48.6,35.6,4,0,21,6,0,0,1,17.5
22/12/20,Alex Cordaz,Serie A,Matchweek 14,Home,W 2–1,Crotone,Parma,Y*,GK,90,7,1,6,85.7,0,0.9,0,0,0,0,2,13,15.4,37,8,32.4,30.4,8,12.5,19.5,10,2,20,0,11.4
3/1/21,Alex Cordaz,Serie A,Matchweek 15,Away,L 2–6,Crotone,Inter,Y*,GK,90,8,6,3,25,0,3.8,0,0,0,0,3,7,42.9,41,9,17.1,25.1,7,0,15.3,5,1,20,0,11.9
6/1/21,Alex Cordaz,Serie A,Matchweek 16,Home,L 1–3,Crotone,Roma,Y*,GK,90,3,3,1,33.3,0,2,1,1,0,0,5,9,55.6,34,9,23.5,28.8,4,25,25.8,5,0,0,1,18.7
10/1/21,Alex Cordaz,Serie A,Matchweek 17,Away,L 1–2,Crotone,Hellas Verona,Y*,GK,90,6,2,4,66.7,0,1.7,0,0,0,0,5,10,50,38,7,23.7,29.7,9,11.1,19.9,13,0,0,1,10
17/1/21,Alex Cordaz,Serie A,Matchweek 18,Home,W 4–1,Crotone,Benevento,Y*,GK,90,5,1,3,80,0,1.2,0,0,0,0,4,15,26.7,25,6,48,36,8,37.5,27.3,18,2,11.1,0,11.3
23/1/21,Alex Cordaz,Serie A,Matchweek 19,Away,L 1–2,Crotone,Fiorentina,Y*,GK,90,6,2,4,66.7,0,2.9,0,0,0,0,6,12,50,31,7,32.3,31.9,6,33.3,27.7,7,1,14.3,2,17.6
31/1/21,Alex Cordaz,Serie A,Matchweek 20,Home,L 0–3,Crotone,Genoa,Y*,GK,90,5,3,2,40,0,2.6,0,0,0,0,13,19,68.4,37,5,43.2,32.8,11,27.3,23.5,15,1,6.7,4,22.4
7/2/21,Alex Cordaz,Serie A,Matchweek 21,Away,L 0–4,Crotone,Milan,Y*,GK,90,10,4,6,60,0,3.7,0,0,0,0,8,18,44.4,28,2,57.1,42.7,8,25,26.9,7,0,0,0,13.7
14/2/21,Alex Cordaz,Serie A,Matchweek 22,Home,L 1–2,Crotone,Sassuolo,Y*,GK,90,3,2,2,66.7,0,1.2,1,1,0,0,8,16,50,32,4,46.9,35.9,9,11.1,25.3,10,0,0,1,15.7
22/2/21,Alex Cordaz,Serie A,Matchweek 23,Away,L 0–3,Crotone,Juventus,Y*,GK,90,7,3,4,57.1,0,3.8,0,0,0,0,8,17,47.1,25,1,44,38.3,14,42.9,33.4,10,0,0,1,10.7
28/2/21,Alex Cordaz,Serie A,Matchweek 24,Home,L 0–2,Crotone,Cagliari,Y*,GK,90,3,2,2,66.7,0,1.7,1,1,0,0,4,8,50,18,2,27.8,27,7,42.9,30.9,7,0,0,1,14.3
3/3/21,Alex Cordaz,Serie A,Matchweek 25,Away,L 1–5,Crotone,Atalanta,Y*,GK,90,11,5,5,54.5,0,4.5,0,0,0,0,12,34,35.3,37,3,73,51.1,11,63.6,43,7,0,0,2,14.8
7/3/21,Alex Cordaz,Serie A,Matchweek 26,Home,W 4–2,Crotone,Torino,Y*,GK,90,4,2,1,50,0,1.7,0,0,0,0,13,24,54.2,31,4,58.1,44.8,11,54.5,39.6,13,2,15.4,1,17.7
12/3/21,Alex Cordaz,Serie A,Matchweek 27,Away,L 2–3,Crotone,Lazio,Y*,GK,90,6,3,3,50,0,2.7,0,0,0,0,12,29,41.4,27,1,74.1,47.7,13,69.2,44.6,15,1,6.7,0,13.2
20/3/21,Alex Cordaz,Serie A,Matchweek 28,Home,L 2–3,Crotone,Bologna,Y*,GK,90,9,3,6,66.7,0,2.8,0,0,0,0,12,23,52.2,31,3,64.5,44.7,8,37.5,37.1,10,0,0,0,9.4
3/4/21,Alex Cordaz,Serie A,Matchweek 29,Away,L 3–4,Crotone,Napoli,Y*,GK,90,9,4,5,55.6,0,3.5,0,0,0,0,9,23,39.1,28,5,42.9,37.8,17,64.7,45.5,9,1,11.1,0,10.2
10/4/21,Alex Cordaz,Serie A,Matchweek 30,Away,L 2–3,Crotone,Spezia,Y*,GK,90,4,3,1,25,0,2.4,0,0,0,0,11,29,37.9,41,5,61,40.2,5,80,50.4,15,3,20,0,18.2
17/4/21,Alex Cordaz,Serie A,Matchweek 31,Home,L 1–2,Crotone,Udinese,Y*,GK,90,5,2,3,60,0,1.5,0,0,0,0,6,17,35.3,36,6,41.7,36.4,5,40,39,2,1,50,0,15.8
21/4/21,Alex Cordaz,Serie A,Matchweek 32,Home,L 0–1,Crotone,Sampdoria,Y*,GK,90,5,1,4,80,0,1.2,0,0,0,0,6,29,20.7,36,5,55.6,41.3,10,90,57.7,3,0,0,1,19.3
24/4/21,Alex Cordaz,Serie A,Matchweek 33,Away,W 4–3,Crotone,Parma,Y*,GK,90,3,3,0,0,0,1.6,0,0,0,0,9,22,40.9,28,1,46.4,38.5,13,69.2,48.2,12,0,0,0,10
1/5/21,Alex Cordaz,Serie A,Matchweek 34,Home,L 0–2,Crotone,Inter,Y*,GK,90,5,2,3,60,0,1.1,0,0,0,0,7,16,43.8,22,3,40.9,37.1,9,77.8,55.9,15,0,0,1,17.8
9/5/21,Alex Cordaz,Serie A,Matchweek 35,Away,L 0–5,Crotone,Roma,Y*,GK,90,10,5,5,50,0,3,0,0,0,0,10,20,50,30,8,46.7,39.8,8,75,50.4,9,0,0,0,12
13/5/21,Alex Cordaz,Serie A,Matchweek 36,Home,W 2–1,Crotone,Hellas Verona,Y*,GK,90,2,1,2,50,0,0.1,0,0,0,0,8,30,26.7,25,5,80,49.6,11,90.9,55.3,11,1,9.1,0,12.6
6/12/20,Gianluca Pegolo,Serie A,Matchweek 10,Away,D 0–0,Sassuolo,Roma,Y,GK,90,1,0,1,100,1,0,0,0,0,0,0,1,0,13,2,7.7,18.5,8,0,13.6,4,0,0,0,14.5
21/11/20,Pierluigi Gollini,Serie A,Matchweek 8,Away,D 0–0,Atalanta,Spezia,Y,GK,90,2,0,2,100,1,0.1,0,0,0,0,6,22,27.3,26,2,65.4,46.1,5,100,59.4,6,0,0,0,12.3
28/11/20,Pierluigi Gollini,Serie A,Matchweek 9,Home,L 0–2,Atalanta,Hellas Verona,Y,GK,65,0,1,0,,0,1,1,1,0,0,5,19,26.3,30,4,53.3,41.1,4,75,56.8,5,1,20,2,17
20/1/21,Pierluigi Gollini,Serie A,Matchweek 10,Away,D 1–1,Atalanta,Udinese,Y,GK,90,1,1,0,0,0,0.1,0,0,0,0,1,3,33.3,14,2,14.3,27.1,5,20,31.8,7,0,0,1,17.8
13/12/20,Pierluigi Gollini,Serie A,Matchweek 11,Home,W 3–0,Atalanta,Fiorentina,Y,GK,90,2,0,1,100,1,0.2,0,0,0,0,7,8,87.5,22,4,27.3,33.6,7,28.6,29.9,18,2,11.1,1,11.8
16/12/20,Pierluigi Gollini,Serie A,Matchweek 12,Away,D 1–1,Atalanta,Juventus,Y,GK,90,6,1,5,83.3,0,2.1,1,0,1,0,7,15,46.7,18,1,55.6,41.8,6,83.3,53.8,10,0,0,0,13
20/12/20,Pierluigi Gollini,Serie A,Matchweek 13,Home,W 4–1,Atalanta,Roma,Y,GK,90,3,1,2,66.7,0,1.1,0,0,0,0,3,4,75,16,1,18.8,26,4,25,39.8,4,0,0,2,19.3
23/12/20,Pierluigi Gollini,Serie A,Matchweek 14,Away,D 2–2,Atalanta,Bologna,Y,GK,90,3,2,1,33.3,0,1.7,0,0,0,0,8,18,44.4,31,5,45.2,38,4,100,58,2,0,0,0,13.1
