Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-02-22,Robert Sánchez,Matchweek 25,Home,L 1–2,Brighton,Crystal Palace,Y,GK,90.0,2.0,2.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,7.7,26.0,3.0,0.0,19.0,4.0,0.0,0.0,2.0,41.0
2021-02-27,Robert Sánchez,Matchweek 26,Away,L 0–1,Brighton,West Brom,Y,GK,90.0,2.0,1.0,1.0,50.0,0.0,0.6,0.0,0.0,0.0,0.0,2.0,9.0,22.2,36.0,9.0,22.2,28.1,8.0,12.5,24.4,5.0,1.0,20.0,0.0,11.8
2021-03-06,Robert Sánchez,Matchweek 27,Home,L 1–2,Brighton,Leicester City,Y,GK,90.0,4.0,2.0,2.0,50.0,0.0,2.3,0.0,0.0,0.0,0.0,3.0,13.0,23.1,27.0,9.0,29.6,32.8,8.0,62.5,50.9,5.0,0.0,0.0,0.0,14.0
2021-03-14,Robert Sánchez,Matchweek 28,Away,W 2–1,Brighton,Southampton,Y,GK,90.0,4.0,1.0,3.0,75.0,0.0,0.8,0.0,0.0,0.0,0.0,13.0,24.0,54.2,28.0,3.0,71.4,54.0,4.0,100.0,63.8,9.0,0.0,0.0,1.0,14.8
2021-03-20,Robert Sánchez,Matchweek 29,Home,W 3–0,Brighton,Newcastle Utd,Y,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.2,0.0,0.0,0.0,0.0,7.0,18.0,38.9,60.0,2.0,30.0,32.7,2.0,0.0,17.0,3.0,0.0,0.0,0.0,10.0
2021-04-04,Robert Sánchez,Matchweek 30,Away,L 1–2,Brighton,Manchester Utd,Y,GK,90.0,7.0,2.0,5.0,71.4,0.0,1.9,0.0,0.0,0.0,0.0,3.0,21.0,14.3,37.0,7.0,45.9,39.8,9.0,44.4,39.1,11.0,2.0,18.2,0.0,19.0
2021-04-12,Robert Sánchez,Matchweek 31,Home,D 0–0,Brighton,Everton,Y,GK,90.0,1.0,0.0,1.0,100.0,1.0,0.2,0.0,0.0,0.0,0.0,3.0,7.0,42.9,23.0,0.0,21.7,30.6,7.0,28.6,34.9,7.0,0.0,0.0,0.0,0.0
2021-04-20,Robert Sánchez,Matchweek 32,Away,D 0–0,Brighton,Chelsea,Y,GK,90.0,4.0,0.0,4.0,100.0,1.0,0.6,0.0,0.0,0.0,0.0,8.0,22.0,36.4,34.0,2.0,52.9,46.1,7.0,57.1,47.4,6.0,0.0,0.0,0.0,10.0
2021-04-24,Robert Sánchez,Matchweek 33,Away,L 0–1,Brighton,Sheffield Utd,Y,GK,90.0,3.0,1.0,2.0,66.7,0.0,0.9,0.0,0.0,0.0,0.0,8.0,12.0,66.7,50.0,2.0,22.0,30.2,2.0,50.0,36.0,8.0,0.0,0.0,2.0,30.3
2021-05-01,Robert Sánchez,Matchweek 34,Home,W 2–0,Brighton,Leeds United,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.7,0.0,0.0,0.0,0.0,8.0,26.0,30.8,32.0,0.0,56.3,48.8,8.0,100.0,76.9,12.0,1.0,8.3,0.0,14.3
2021-05-09,Robert Sánchez,Matchweek 35,Away,L 1–2,Brighton,Wolves,Y,GK,90.0,6.0,2.0,4.0,66.7,0.0,3.0,0.0,0.0,0.0,0.0,7.0,16.0,43.8,32.0,4.0,37.5,36.3,8.0,50.0,47.5,14.0,1.0,7.1,0.0,9.4
2021-05-15,Robert Sánchez,Matchweek 36,Home,D 1–1,Brighton,West Ham,Y,GK,90.0,2.0,1.0,1.0,50.0,0.0,0.7,0.0,0.0,0.0,0.0,11.0,20.0,55.0,45.0,3.0,35.6,36.5,10.0,40.0,40.3,14.0,0.0,0.0,0.0,10.7
2021-05-18,Robert Sánchez,Matchweek 37,Home,W 3–2,Brighton,Manchester City,Y,GK,90.0,4.0,2.0,2.0,50.0,0.0,2.8,0.0,0.0,0.0,0.0,4.0,9.0,44.4,36.0,0.0,19.4,28.4,2.0,100.0,70.5,3.0,0.0,0.0,0.0,14.0
2021-05-23,Robert Sánchez,Matchweek 38,Away,L 0–2,Brighton,Arsenal,Y,GK,90.0,4.0,2.0,2.0,50.0,0.0,1.1,0.0,0.0,0.0,0.0,6.0,14.0,42.9,50.0,8.0,24.0,31.5,6.0,33.3,34.3,5.0,0.0,0.0,1.0,11.9
2020-09-12,Illan Meslier,Matchweek 1,Away,L 3–4,Leeds United,Liverpool,Y,GK,90,4,4,2,50.0,0,3.7,2,2,0,0,7,20,35.0,47,10,27.7,30.9,12,58.3,42.8,6,0,0.0,2,13.1
2020-09-19,Illan Meslier,Matchweek 2,Home,W 4–3,Leeds United,Fulham,Y,GK,90,5,3,3,60.0,0,2.0,1,1,0,0,11,16,68.8,30,4,43.3,35.9,9,33.3,30.1,11,0,0.0,0,12.5
2020-09-27,Illan Meslier,Matchweek 3,Away,W 1–0,Leeds United,Sheffield Utd,Y,GK,90,3,0,3,100.0,1,0.8,0,0,0,0,3,6,50.0,35,11,14.3,25.3,6,16.7,27.3,5,0,0.0,2,14.7
2020-10-03,Illan Meslier,Matchweek 4,Home,D 1–1,Leeds United,Manchester City,Y,GK,90,1,1,0,0.0,0,0.6,0,0,0,0,11,23,47.8,43,7,41.9,33.3,14,35.7,31.9,6,2,33.3,0,13.5
2020-10-19,Illan Meslier,Matchweek 5,Home,L 0–1,Leeds United,Wolves,Y,GK,90,3,1,2,66.7,0,2.1,0,0,0,0,3,5,60.0,25,5,16.0,24.5,6,16.7,19.2,3,0,0.0,1,24.5
2020-10-23,Illan Meslier,Matchweek 6,Away,W 3–0,Leeds United,Aston Villa,Y,GK,90,3,0,3,100.0,1,0.5,0,0,0,0,7,13,53.8,23,7,43.5,35.8,6,50.0,41.8,0,0,0,0,10.9
2020-11-02,Illan Meslier,Matchweek 7,Home,L 1–4,Leeds United,Leicester City,Y,GK,90,7,4,4,57.1,0,3.9,1,1,0,0,1,2,50.0,17,5,11.8,24.6,2,0.0,23.0,6,0,0.0,0,8.2
2020-11-07,Illan Meslier,Matchweek 8,Away,L 1–4,Leeds United,Crystal Palace,Y,GK,90,6,4,3,33.3,0,1.8,0,0,0,0,3,4,75.0,24,7,12.5,23.3,5,20.0,18.2,4,0,0.0,0,11.8
2020-11-22,Illan Meslier,Matchweek 9,Home,D 0–0,Leeds United,Arsenal,Y,GK,90,2,0,2,100.0,1,0.6,0,0,0,0,2,6,33.3,15,2,20.0,28.3,5,60.0,38.2,4,0,0.0,2,32.5
2020-11-28,Illan Meslier,Matchweek 10,Away,W 1–0,Leeds United,Everton,Y,GK,90,9,0,9,100.0,1,1.2,0,0,0,0,8,10,80.0,29,13,27.6,28.1,8,25.0,27.4,5,0,0.0,0,12.9
2020-12-05,Illan Meslier,Matchweek 11,Away,L 1–3,Leeds United,Chelsea,Y,GK,90,10,3,6,70.0,0,4.0,0,0,0,0,6,6,100.0,28,8,14.3,23.5,8,25.0,25.0,6,0,0.0,1,13.7
2020-12-11,Illan Meslier,Matchweek 12,Home,L 1–2,Leeds United,West Ham,Y,GK,90,7,2,5,71.4,0,2.5,0,0,0,0,3,8,37.5,36,11,8.3,23.2,9,55.6,38.1,6,0,0.0,0,13.1
2020-12-16,Illan Meslier,Matchweek 13,Home,W 5–2,Leeds United,Newcastle Utd,Y,GK,90,4,2,2,50.0,0,1.9,0,0,0,0,3,5,60.0,23,5,13.0,24.7,8,25.0,26.0,7,0,0.0,0,16.0
2020-12-20,Illan Meslier,Matchweek 14,Away,L 2–6,Leeds United,Manchester Utd,Y,GK,90,14,6,9,64.3,0,4.6,1,1,0,0,6,9,66.7,28,6,32.1,31.9,4,0.0,22.3,1,0,0.0,1,18.0
2020-12-27,Illan Meslier,Matchweek 15,Home,W 1–0,Leeds United,Burnley,Y,GK,90,6,0,6,100.0,1,0.9,0,0,0,0,2,14,14.3,26,9,38.5,37.4,8,50.0,44.9,11,3,27.3,1,15.0
2020-12-29,Illan Meslier,Matchweek 16,Away,W 5–0,Leeds United,West Brom,Y,GK,90,1,0,1,100.0,1,0.7,0,0,0,0,3,8,37.5,35,12,22.9,27.0,5,0.0,17.8,9,0,0.0,0,11.2
2021-01-02,Illan Meslier,Matchweek 17,Away,L 0–3,Leeds United,Tottenham,Y,GK,90,6,3,4,66.7,0,1.9,1,1,0,0,5,5,100.0,34,4,11.8,23.4,9,11.1,24.8,3,0,0.0,1,17.3
2021-02-23,Illan Meslier,Matchweek 18,Home,W 3–0,Leeds United,Southampton,Y,GK,90,5,0,5,100.0,1,0.3,0,0,0,0,5,12,41.7,34,13,20.6,28.0,10,50.0,40.9,8,1,12.5,2,14.0
2021-01-26,Illan Meslier,Matchweek 20,Away,W 2–1,Leeds United,Newcastle Utd,Y,GK,90,5,1,4,80.0,0,0.7,0,0,0,0,10,23,43.5,34,5,38.2,30.7,13,76.9,47.8,6,0,0.0,2,16.2
2021-01-31,Illan Meslier,Matchweek 21,Away,W 3–1,Leeds United,Leicester City,Y,GK,90,8,1,7,87.5,0,1.7,0,0,0,0,2,13,15.4,38,11,28.9,31.3,7,28.6,26.9,4,0,0.0,0,11.4
2021-02-03,Illan Meslier,Matchweek 22,Home,L 1–2,Leeds United,Everton,Y,GK,90,6,2,4,66.7,0,2.3,0,0,0,0,1,3,33.3,27,5,11.1,23.0,4,0.0,26.0,7,1,14.3,0,3.0
2021-02-08,Illan Meslier,Matchweek 23,Home,W 2–0,Leeds United,Crystal Palace,Y,GK,90,3,0,3,100.0,1,0.1,0,0,0,0,5,7,71.4,49,13,14.3,26.3,3,0.0,25.0,4,1,25.0,1,13.4
2021-02-14,Illan Meslier,Matchweek 24,Away,L 2–4,Leeds United,Arsenal,Y,GK,90,4,4,1,25.0,0,2.5,1,1,0,0,6,20,30.0,52,7,36.5,32.2,4,25.0,23.3,2,0,0.0,0,14.8
2021-02-19,Illan Meslier,Matchweek 25,Away,L 0–1,Leeds United,Wolves,Y,GK,90,5,1,5,80.0,0,0.6,0,0,0,0,3,10,30.0,26,5,38.5,36.6,6,0.0,13.7,3,2,66.7,1,19.7
2021-02-27,Illan Meslier,Matchweek 26,Home,L 0–1,Leeds United,Aston Villa,Y,GK,90,4,1,3,75.0,0,0.8,0,0,0,0,4,7,57.1,24,3,29.2,30.0,5,0.0,18.0,3,0,0.0,0,9.0
2021-03-08,Illan Meslier,Matchweek 27,Away,L 0–2,Leeds United,West Ham,Y,GK,90,4,2,2,50.0,0,1.9,1,0,1,0,7,10,70.0,37,8,27.0,28.9,6,0.0,26.3,6,1,16.7,0,12.4
2021-03-13,Illan Meslier,Matchweek 28,Home,D 0–0,Leeds United,Chelsea,Y,GK,90,8,0,8,100.0,1,1.2,0,0,0,0,4,8,50.0,32,14,21.9,31.6,8,12.5,25.3,5,2,40.0,0,12.9
2021-03-19,Illan Meslier,Matchweek 29,Away,W 2–1,Leeds United,Fulham,Y,GK,90,4,1,3,75.0,0,1.5,0,0,0,0,4,17,23.5,23,10,56.5,42.1,5,80.0,61.8,6,0,0.0,0,9.4
2021-04-03,Illan Meslier,Matchweek 30,Home,W 2–1,Leeds United,Sheffield Utd,Y,GK,90,1,1,0,0.0,0,0.6,0,0,0,0,6,10,60.0,25,5,32.0,35.2,5,40.0,35.4,7,1,14.3,0,7.5
2021-04-10,Illan Meslier,Matchweek 31,Away,W 2–1,Leeds United,Manchester City,Y,GK,90,7,1,6,85.7,0,1.3,0,0,0,0,13,37,35.1,35,5,60.0,43.9,17,94.1,59.5,14,4,28.6,1,20.3
2021-04-19,Illan Meslier,Matchweek 32,Home,D 1–1,Leeds United,Liverpool,Y,GK,90,7,1,6,85.7,0,1.2,0,0,0,0,9,14,64.3,33,8,36.4,34.5,11,18.2,24.7,3,0,0.0,0,13.4
2021-04-25,Illan Meslier,Matchweek 33,Home,D 0–0,Leeds United,Manchester Utd,Y,GK,90,4,0,4,100.0,1,0.4,0,0,0,0,1,11,9.1,33,8,27.3,32.8,8,25.0,29.1,11,1,9.1,0,13.5
2021-05-01,Illan Meslier,Matchweek 34,Away,L 0–2,Leeds United,Brighton,Y,GK,90,4,2,3,75.0,0,2.8,1,1,0,0,12,21,57.1,25,6,48.0,33.6,13,69.2,44.4,6,1,16.7,0,9.7
2021-05-08,Illan Meslier,Matchweek 35,Home,W 3–1,Leeds United,Tottenham,Y,GK,90,3,1,2,66.7,0,0.9,0,0,0,0,1,9,11.1,27,5,25.9,30.3,6,33.3,30.5,4,0,0.0,0,10.3
2021-05-15,Illan Meslier,Matchweek 36,Away,W 4–0,Leeds United,Burnley,Y,GK,90,4,0,4,100.0,1,0.7,0,0,0,0,4,17,23.5,30,12,36.7,37.1,11,54.5,40.6,6,1,16.7,2,15.4
2021-03-13,João Virgínia,Matchweek 28,Home,L 1–2,Everton,Burnley,N,GK,48,3,0,3,100.0,0,0.2,0,0,0,0,3,11,27.3,13,3,61.5,50.9,4,75.0,54.5,2,0,0.0,0,21.0
2021-01-20,Emiliano Martínez,Matchweek 1,Away,L 0–2,Aston Villa,Manchester City,Y,GK,90,8,2,7,87.5,0,3.5,1,1,0,0,11,35,31.4,38,3,78.9,50.5,8,62.5,42.6,7,1,14.3,1,18.6
2020-09-21,Emiliano Martínez,Matchweek 2,Home,W 1–0,Aston Villa,Sheffield Utd,Y,GK,90,0,0,0,0.0,1,0.8,1,0,1,0,4,8,50.0,32,7,21.9,30.8,3,33.3,34.7,6,0,0.0,0,14.3
2020-09-28,Emiliano Martínez,Matchweek 3,Away,W 3–0,Aston Villa,Fulham,Y,GK,90,2,0,1,100.0,1,0.4,0,0,0,0,9,27,33.3,29,5,58.6,49.0,11,90.9,70.9,27,2,7.4,0,14.3
2020-10-04,Emiliano Martínez,Matchweek 4,Home,W 7–2,Aston Villa,Liverpool,Y,GK,90,8,2,6,75.0,0,2.4,0,0,0,0,7,27,25.9,26,0,88.5,62.3,4,100.0,69.8,7,1,14.3,0,10.3
2020-10-18,Emiliano Martínez,Matchweek 5,Away,W 1–0,Aston Villa,Leicester City,Y,GK,90,5,0,5,100.0,1,0.7,0,0,0,0,7,23,30.4,37,2,48.6,43.6,5,100.0,70.4,5,0,0.0,0,12.8
2020-10-23,Emiliano Martínez,Matchweek 6,Home,L 0–3,Aston Villa,Leeds United,Y,GK,90,9,3,6,66.7,0,2.6,0,0,0,0,12,33,36.4,33,4,69.7,50.3,12,83.3,62.3,19,3,15.8,0,10.0
2020-11-01,Emiliano Martínez,Matchweek 7,Home,L 3–4,Aston Villa,Southampton,Y,GK,90,4,4,0,0.0,0,2.7,0,0,0,0,7,15,46.7,23,0,60.9,43.6,4,25.0,34.5,1,0,0.0,0,10.5
2020-11-08,Emiliano Martínez,Matchweek 8,Away,W 3–0,Aston Villa,Arsenal,Y,GK,90,2,0,2,100.0,1,1.0,0,0,0,0,14,33,42.4,32,3,75.0,52.0,10,90.0,65.0,15,1,6.7,0,12.3
2020-11-21,Emiliano Martínez,Matchweek 9,Home,L 1–2,Aston Villa,Brighton,Y,GK,90,3,2,1,33.3,0,2.0,0,0,0,0,7,9,77.8,16,8,37.5,31.3,5,60.0,43.2,9,0,0.0,0,13.4
2020-11-30,Emiliano Martínez,Matchweek 10,Away,L 1–2,Aston Villa,West Ham,Y,GK,90,2,2,0,0.0,0,1.1,0,0,0,0,4,11,36.4,26,4,26.9,31.2,8,50.0,37.4,5,0,0.0,1,20.3
2021-01-23,Emiliano Martínez,Matchweek 11,Home,W 2–0,Aston Villa,Newcastle Utd,Y,GK,90,0,0,0,0.0,1,0.0,0,0,0,0,9,15,60.0,37,4,35.1,32.3,3,66.7,52.0,19,1,5.3,0,12.4
2020-12-12,Emiliano Martínez,Matchweek 12,Away,W 1–0,Aston Villa,Wolves,Y,GK,90,7,0,7,100.0,1,1.2,0,0,0,0,7,14,50.0,29,2,48.3,43.2,1,0.0,12.0,10,0,0.0,0,9.3
2020-12-17,Emiliano Martínez,Matchweek 13,Home,D 0–0,Aston Villa,Burnley,Y,GK,90,4,0,4,100.0,1,0.7,0,0,0,0,8,19,42.1,22,3,68.2,48.5,4,100.0,62.5,8,0,0.0,0,11.3
2020-12-20,Emiliano Martínez,Matchweek 14,Away,W 3–0,Aston Villa,West Brom,Y,GK,90,1,0,1,100.0,1,0.0,0,0,0,0,2,2,100.0,11,5,18.2,25.7,0,0.0,0.0,5,0,0.0,1,12.5
2020-12-26,Emiliano Martínez,Matchweek 15,Home,W 3–0,Aston Villa,Crystal Palace,Y,GK,90,6,0,6,100.0,1,1.4,0,0,0,0,6,23,26.1,19,5,68.4,54.0,11,90.9,65.5,12,2,16.7,0,7.0
2020-12-28,Emiliano Martínez,Matchweek 16,Away,D 1–1,Aston Villa,Chelsea,Y,GK,90,5,1,4,80.0,0,0.7,0,0,0,0,10,28,35.7,27,3,74.1,51.0,9,88.9,65.4,13,1,7.7,0,8.5
2021-01-01,Emiliano Martínez,Matchweek 17,Away,L 1–2,Aston Villa,Manchester Utd,Y,GK,90,8,2,6,87.5,0,2.7,1,1,0,0,6,20,30.0,25,9,52.0,41.1,10,70.0,53.7,7,0,0.0,3,14.6
2021-03-21,Emiliano Martínez,Matchweek 18,Home,L 0–2,Aston Villa,Tottenham,Y,GK,90,2,2,1,50.0,0,2.2,1,1,0,0,0,1,0.0,16,2,6.3,23.8,4,0.0,22.5,7,0,0.0,1,29.0
2021-05-13,Emiliano Martínez,Matchweek 19,Home,D 0–0,Aston Villa,Everton,Y,GK,90,5,0,5,100.0,1,0.3,0,0,0,0,6,17,35.3,33,9,33.3,34.4,8,75.0,52.1,15,2,13.3,2,12.4
2021-01-27,Emiliano Martínez,Matchweek 20,Away,L 2–3,Aston Villa,Burnley,Y,GK,90,5,3,2,40.0,0,2.2,0,0,0,0,12,31,38.7,40,5,60.0,42.5,7,100.0,61.4,12,2,16.7,3,22.9
2021-01-30,Emiliano Martínez,Matchweek 21,Away,W 1–0,Aston Villa,Southampton,Y,GK,90,4,0,4,100.0,1,0.7,0,0,0,0,10,24,41.7,28,1,60.7,43.0,9,77.8,55.8,6,1,16.7,1,18.0
2021-02-03,Emiliano Martínez,Matchweek 22,Home,L 1–3,Aston Villa,West Ham,Y,GK,90,9,3,6,66.7,0,1.5,0,0,0,0,4,9,44.4,35,6,22.9,28.6,5,20.0,30.0,12,2,16.7,0,15.3
2021-02-06,Emiliano Martínez,Matchweek 23,Home,W 1–0,Aston Villa,Arsenal,Y,GK,90,4,0,4,100.0,1,0.6,0,0,0,0,15,34,44.1,30,2,73.3,49.5,13,92.3,63.9,17,1,5.9,0,7.6
2021-02-13,Emiliano Martínez,Matchweek 24,Away,D 0–0,Aston Villa,Brighton,Y,GK,90,9,0,9,100.0,1,1.6,0,0,0,0,11,19,57.9,22,5,72.7,46.6,6,50.0,43.0,9,0,0.0,1,13.2
2021-02-21,Emiliano Martínez,Matchweek 25,Home,L 1–2,Aston Villa,Leicester City,Y,GK,90,7,2,5,71.4,0,2.2,0,0,0,0,2,8,25.0,22,3,27.3,33.0,5,40.0,38.0,5,0,0.0,0,14.0
2021-02-27,Emiliano Martínez,Matchweek 26,Away,W 1–0,Aston Villa,Leeds United,Y,GK,90,3,0,3,100.0,1,0.6,0,0,0,0,12,30,40.0,25,4,76.0,52.2,11,100.0,67.5,13,4,30.8,0,12.7
2021-03-06,Emiliano Martínez,Matchweek 27,Home,D 0–0,Aston Villa,Wolves,Y,GK,90,2,0,2,100.0,1,0.5,0,0,0,0,8,13,61.5,23,3,43.5,36.7,9,33.3,27.1,12,2,16.7,1,19.5
2021-03-12,Emiliano Martínez,Matchweek 28,Away,D 1–1,Aston Villa,Newcastle Utd,Y,GK,90,3,1,2,66.7,0,0.7,0,0,0,0,9,27,33.3,31,3,71.0,51.4,5,100.0,68.0,19,0,0.0,1,12.5
2021-03-03,Emiliano Martínez,Matchweek 29,Away,L 0–1,Aston Villa,Sheffield Utd,Y,GK,90,2,1,1,50.0,0,1.0,0,0,0,0,4,8,50.0,30,6,26.7,29.9,1,0.0,27.0,2,0,0.0,2,25.8
2021-04-04,Emiliano Martínez,Matchweek 30,Home,W 3–1,Aston Villa,Fulham,Y,GK,90,7,1,6,85.7,0,1.9,0,0,0,0,2,11,18.2,26,5,38.5,37.0,4,25.0,31.3,7,0,0.0,2,17.2
2021-04-10,Emiliano Martínez,Matchweek 31,Away,L 1–2,Aston Villa,Liverpool,Y,GK,90,8,2,6,75.0,0,2.1,0,0,0,0,16,33,48.5,27,5,85.2,57.5,12,83.3,56.7,10,0,0.0,0,10.3
2021-04-21,Emiliano Martínez,Matchweek 32,Home,L 1–2,Aston Villa,Manchester City,Y,GK,90,3,2,1,33.3,0,1.4,0,0,0,0,5,18,27.8,27,2,55.6,43.7,6,50.0,39.7,8,1,12.5,0,8.7
2021-04-25,Emiliano Martínez,Matchweek 33,Home,D 2–2,Aston Villa,West Brom,Y,GK,90,3,2,3,66.7,0,1.1,1,1,0,0,5,9,55.6,22,4,31.8,30.9,7,28.6,28.7,4,1,25.0,1,17.3
2021-05-01,Emiliano Martínez,Matchweek 34,Away,W 2–1,Aston Villa,Everton,Y,GK,90,3,1,2,66.7,0,0.9,0,0,0,0,7,16,43.8,35,4,25.7,31.0,13,53.8,47.5,6,1,16.7,0,9.8
2021-05-09,Emiliano Martínez,Matchweek 35,Home,L 1–3,Aston Villa,Manchester Utd,Y,GK,90,6,3,4,66.7,0,2.2,1,1,0,0,6,16,37.5,29,10,48.3,43.2,4,50.0,41.8,7,2,28.6,0,13.0
2021-05-16,Emiliano Martínez,Matchweek 36,Away,L 2–3,Aston Villa,Crystal Palace,Y,GK,90,8,3,5,62.5,0,2.2,0,0,0,0,10,19,52.6,27,5,59.3,48.4,3,100.0,62.0,18,1,5.6,0,10.3
2021-05-19,Emiliano Martínez,Matchweek 37,Away,W 2–1,Aston Villa,Tottenham,Y,GK,90,4,1,3,75.0,0,1.5,0,0,0,0,6,19,31.6,27,7,63.0,49.8,4,50.0,45.5,12,0,0.0,0,6.3
2021-05-23,Emiliano Martínez,Matchweek 38,Home,W 2–1,Aston Villa,Chelsea,Y,GK,90,6,1,5,83.3,0,1.2,0,0,0,0,9,24,37.5,24,4,62.5,48.2,10,90.0,65.3,17,1,5.9,0,8.2
2020-09-14,Rui Patrício,Matchweek 1,Away,W 2–0,Wolves,Sheffield Utd,Y,GK,90,1,0,1,100.0,1,0.0,0,0,0,0,11,18,61.1,18,6,66.7,50.4,6,100.0,59.8,14,2,14.3,0,8.8
2020-09-21,Rui Patrício,Matchweek 2,Home,L 1–3,Wolves,Manchester City,Y,GK,90,8,3,6,75.0,0,2.2,1,1,0,0,9,18,50.0,19,6,57.9,44.0,8,87.5,54.6,3,0,0.0,0,11.6
2020-09-27,Rui Patrício,Matchweek 3,Away,L 0–4,Wolves,West Ham,Y,GK,90,7,4,4,42.9,0,2.1,0,0,0,0,3,12,25.0,16,6,50.0,39.4,5,80.0,50.6,8,0,0.0,0,10.6
2020-10-04,Rui Patrício,Matchweek 4,Home,W 1–0,Wolves,Fulham,Y,GK,90,2,0,2,100.0,1,0.4,0,0,0,0,3,11,27.3,15,4,46.7,35.1,8,50.0,38.4,20,2,10.0,0,10.3
2020-10-19,Rui Patrício,Matchweek 5,Away,W 1–0,Wolves,Leeds United,Y,GK,90,2,0,2,100.0,1,0.6,0,0,0,0,11,28,39.3,19,3,84.2,54.2,12,100.0,59.9,19,1,5.3,0,7.4
2020-10-25,Rui Patrício,Matchweek 6,Home,D 1–1,Wolves,Newcastle Utd,Y,GK,90,2,1,1,50.0,0,0.5,0,0,0,0,5,5,100.0,12,6,33.3,32.5,2,50.0,27.5,6,1,16.7,1,12.3
2020-10-30,Rui Patrício,Matchweek 7,Home,W 2–0,Wolves,Crystal Palace,Y,GK,90,2,0,2,100.0,1,0.3,0,0,0,0,6,13,46.2,11,2,81.8,58.0,4,100.0,70.0,10,0,0.0,0,12.0
2020-11-08,Rui Patrício,Matchweek 8,Away,L 0–1,Wolves,Leicester City,Y,GK,90,1,1,1,100.0,0,1.3,2,1,1,0,4,14,28.6,8,1,62.5,43.0,12,75.0,50.4,9,3,33.3,0,19.5
2020-11-23,Rui Patrício,Matchweek 9,Home,D 1–1,Wolves,Southampton,Y,GK,90,2,1,1,50.0,0,1.1,0,0,0,0,7,15,46.7,18,1,61.1,47.5,4,100.0,61.8,7,1,14.3,0,15.0
2020-11-29,Rui Patrício,Matchweek 10,Away,W 2–1,Wolves,Arsenal,Y,GK,90,2,1,1,50.0,0,0.2,0,0,0,0,12,18,66.7,20,1,45.0,32.0,9,100.0,64.1,17,0,0.0,0,13.5
2020-12-06,Rui Patrício,Matchweek 11,Away,L 0–4,Wolves,Liverpool,Y,GK,90,6,4,3,33.3,0,2.4,0,0,0,0,9,12,75.0,9,3,55.6,38.7,7,100.0,60.3,8,0,0.0,0,8.0
2020-12-12,Rui Patrício,Matchweek 12,Home,L 0–1,Wolves,Aston Villa,Y,GK,90,1,1,1,100.0,0,1.1,1,1,0,0,8,15,53.3,13,1,61.5,38.8,7,100.0,55.4,14,0,0.0,0,10.5
2020-12-15,Rui Patrício,Matchweek 13,Home,W 2–1,Wolves,Chelsea,Y,GK,90,3,1,2,66.7,0,0.5,0,0,0,0,5,11,45.5,10,3,40.0,37.3,9,77.8,57.8,19,2,10.5,0,11.8
2020-12-21,Rui Patrício,Matchweek 14,Away,L 1–2,Wolves,Burnley,Y,GK,90,4,2,2,50.0,0,2.0,0,0,0,0,4,10,40.0,7,3,57.1,39.0,11,54.5,41.8,10,2,20.0,0,10.0
2020-12-27,Rui Patrício,Matchweek 15,Home,D 1–1,Wolves,Tottenham,Y,GK,90,3,1,2,66.7,0,0.2,0,0,0,0,2,3,66.7,13,5,23.1,28.3,3,0.0,12.7,3,0,0.0,0,11.3
2020-12-29,Rui Patrício,Matchweek 16,Away,L 0–1,Wolves,Manchester Utd,Y,GK,90,3,1,2,66.7,0,1.0,0,0,0,0,10,20,50.0,21,5,66.7,43.0,10,60.0,40.2,17,2,11.8,0,13.7
2021-01-02,Rui Patrício,Matchweek 17,Away,D 3–3,Wolves,Brighton,Y,GK,90,3,3,1,33.3,0,2.7,1,1,0,0,5,10,50.0,11,2,63.6,44.9,10,30.0,31.5,8,1,12.5,0,2.0
2021-01-12,Rui Patrício,Matchweek 18,Home,L 1–2,Wolves,Everton,Y,GK,90,3,2,1,33.3,0,1.0,0,0,0,0,1,1,100.0,15,3,6.7,26.3,5,0.0,22.2,11,0,0.0,0,4.0
2021-01-16,Rui Patrício,Matchweek 19,Home,L 2–3,Wolves,West Brom,Y,GK,90,3,3,2,66.7,0,2.2,2,2,0,0,4,5,80.0,15,3,20.0,22.9,5,40.0,35.4,4,0,0.0,0,6.0
2021-01-27,Rui Patrício,Matchweek 20,Away,D 0–0,Wolves,Chelsea,Y,GK,90,5,0,5,100.0,1,1.0,0,0,0,0,9,17,52.9,16,3,81.3,52.6,8,50.0,44.0,12,1,8.3,0,11.0
2021-01-30,Rui Patrício,Matchweek 21,Away,L 0–1,Wolves,Crystal Palace,Y,GK,90,2,1,1,50.0,0,0.1,0,0,0,0,5,9,55.6,6,2,66.7,45.5,9,55.6,39.6,2,0,0.0,0,14.5
2021-02-02,Rui Patrício,Matchweek 22,Home,W 2–1,Wolves,Arsenal,Y,GK,90,3,1,1,66.7,0,1.0,0,0,0,0,6,8,75.0,15,5,40.0,34.2,4,50.0,38.3,4,0,0.0,0,11.5
