Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,GA,Saves,Save%,CS,PSxG,PKatt,PKA,PKsv,PKm,Cmp,PassAttemptedLong,Cmp%,PassAtt,Thr,Launch%,AvgLen,GoalKickAtt,GKLaunch%,GKAvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2021-04-25,Nick Pope,Matchweek 33,Away,W 4–0,Burnley,Wolves,Y,GK,90.0,2.0,0.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,41.2,17.0,4.0,58.8,49.1,7.0,100.0,69.4,8.0,0.0,0.0,0.0,18.0
2021-05-03,Nick Pope,Matchweek 34,Home,L 1–2,Burnley,West Ham,Y,GK,90.0,4.0,2.0,2.0,50.0,0.0,1.2,0.0,0.0,0.0,0.0,7.0,35.0,20.0,35.0,5.0,68.6,51.3,12.0,91.7,67.0,15.0,3.0,20.0,4.0,22.0
2021-05-10,Nick Pope,Matchweek 35,Away,W 2–0,Burnley,Fulham,Y,GK,90.0,4.0,0.0,4.0,100.0,1.0,0.6,0.0,0.0,0.0,0.0,9.0,29.0,31.0,20.0,1.0,95.0,66.4,12.0,83.3,66.0,22.0,4.0,18.2,1.0,34.0
2020-09-13,Kasper Schmeichel,Matchweek 1,Away,W 3–0,Leicester City,West Brom,Y*,GK,90,1,0,1,100.0,1,0.1,0,0,0,0,2,8,25.0,22,3,18.2,30.5,6,66.7,52.7,4,0,0.0,1,14.7
2020-09-20,Kasper Schmeichel,Matchweek 2,Home,W 4–2,Leicester City,Burnley,Y*,GK,90,5,2,3,60.0,0,1.8,0,0,0,0,5,19,26.3,38,3,39.5,41.1,9,44.4,36.8,6,2,33.3,0,15.0
2020-09-27,Kasper Schmeichel,Matchweek 3,Away,W 5–2,Leicester City,Manchester City,Y*,GK,90,5,2,3,60.0,0,1.5,0,0,0,0,12,34,35.3,32,7,62.5,48.3,14,100.0,68.9,11,1,9.1,0,5.4
2020-10-04,Kasper Schmeichel,Matchweek 4,Home,L 0–3,Leicester City,West Ham,Y*,GK,90,6,3,3,50.0,0,1.7,0,0,0,0,4,11,36.4,29,5,37.9,37.1,4,0.0,22.5,5,1,20.0,0,12.3
2020-10-18,Kasper Schmeichel,Matchweek 5,Home,L 0–1,Leicester City,Aston Villa,Y*,GK,90,4,1,3,75.0,0,0.8,0,0,0,0,5,20,25.0,38,6,50.0,41.8,4,25.0,26.3,9,1,11.1,1,13.4
2020-10-25,Kasper Schmeichel,Matchweek 6,Away,W 1–0,Leicester City,Arsenal,Y*,GK,90,4,0,4,100.0,1,0.7,0,0,0,0,12,23,52.2,33,8,54.5,42.2,7,71.4,50.9,10,2,20.0,0,9.4
2020-11-02,Kasper Schmeichel,Matchweek 7,Away,W 4–1,Leicester City,Leeds United,Y*,GK,90,5,1,4,80.0,0,2.0,0,0,0,0,6,18,33.3,25,7,48.0,42.0,11,54.5,46.7,11,0,0.0,1,11.1
2020-11-08,Kasper Schmeichel,Matchweek 8,Home,W 1–0,Leicester City,Wolves,Y*,GK,90,2,0,2,100.0,1,0.8,0,0,0,0,4,10,40.0,13,2,46.2,43.5,6,66.7,48.8,14,1,7.1,0,13.0
2020-11-22,Kasper Schmeichel,Matchweek 9,Away,L 0–3,Leicester City,Liverpool,Y*,GK,90,12,3,9,75.0,0,2.9,0,0,0,0,13,23,56.5,30,6,53.3,43.4,8,87.5,60.3,9,0,0.0,0,12.0
2020-11-30,Kasper Schmeichel,Matchweek 10,Home,L 1–2,Leicester City,Fulham,Y*,GK,90,4,2,3,75.0,0,2.2,1,1,0,0,1,2,50.0,15,1,6.7,22.0,3,33.3,30.0,3,0,0.0,1,35.0
2020-12-06,Kasper Schmeichel,Matchweek 11,Away,W 2–1,Leicester City,Sheffield Utd,Y*,GK,90,1,1,0,0.0,0,0.7,0,0,0,0,5,8,62.5,20,5,35.0,37.3,3,33.3,33.7,8,0,0.0,0,11.6
2020-12-13,Kasper Schmeichel,Matchweek 12,Home,W 3–0,Leicester City,Brighton,Y*,GK,90,4,0,4,100.0,1,0.8,0,0,0,0,9,12,75.0,25,5,48.0,37.3,4,0.0,33.3,9,1,11.1,0,13.5
2020-12-16,Kasper Schmeichel,Matchweek 13,Home,L 0–2,Leicester City,Everton,Y*,GK,90,6,2,3,66.7,0,1.4,0,0,0,0,6,7,85.7,17,3,41.2,37.0,2,0.0,15.0,4,0,0.0,1,18.0
2020-12-20,Kasper Schmeichel,Matchweek 14,Away,W 2–0,Leicester City,Tottenham,Y*,GK,90,3,0,3,100.0,1,1.3,0,0,0,0,6,22,27.3,30,4,60.0,47.6,6,66.7,51.3,10,1,10.0,0,9.1
2020-12-26,Kasper Schmeichel,Matchweek 15,Home,D 2–2,Leicester City,Manchester Utd,Y*,GK,90,4,2,2,50.0,0,1.8,0,0,0,0,6,20,30.0,36,5,50.0,39.4,3,66.7,58.3,3,0,0.0,0,19.0
2020-12-28,Kasper Schmeichel,Matchweek 16,Away,D 1–1,Leicester City,Crystal Palace,Y*,GK,90,1,1,0,0.0,0,0.2,0,0,0,0,4,7,57.1,24,3,25.0,30.0,4,25.0,30.5,7,0,0.0,0,8.8
2021-01-03,Kasper Schmeichel,Matchweek 17,Away,W 2–1,Leicester City,Newcastle Utd,Y*,GK,90,2,1,1,50.0,0,0.8,0,0,0,0,8,15,53.3,30,2,46.7,40.8,4,25.0,29.8,7,0,0.0,1,20.0
2021-01-19,Kasper Schmeichel,Matchweek 18,Home,W 2–0,Leicester City,Chelsea,Y*,GK,90,5,0,5,100.0,1,1.0,0,0,0,0,9,16,56.3,31,4,48.4,37.8,4,25.0,28.5,9,1,11.1,2,25.3
2021-01-16,Kasper Schmeichel,Matchweek 19,Home,W 2–0,Leicester City,Southampton,Y*,GK,90,3,0,3,100.0,1,0.7,0,0,0,0,5,16,31.3,27,4,51.9,42.5,8,25.0,29.6,5,0,0.0,0,13.6
2021-01-27,Kasper Schmeichel,Matchweek 20,Away,D 1–1,Leicester City,Everton,Y*,GK,90,2,1,1,50.0,0,0.8,0,0,0,0,3,5,60.0,19,4,21.1,31.2,5,20.0,24.0,12,1,8.3,1,40.0
2021-01-31,Kasper Schmeichel,Matchweek 21,Home,L 1–3,Leicester City,Leeds United,Y*,GK,90,6,3,2,50.0,0,2.7,0,0,0,0,8,16,50.0,34,6,41.2,33.4,4,50.0,38.0,1,0,0.0,0,6.0
2021-02-03,Kasper Schmeichel,Matchweek 22,Away,W 2–0,Leicester City,Fulham,Y*,GK,90,1,0,1,100.0,1,0.3,0,0,0,0,10,25,40.0,27,6,63.0,47.6,10,80.0,61.3,13,1,7.7,1,10.7
2021-02-07,Kasper Schmeichel,Matchweek 23,Away,D 0–0,Leicester City,Wolves,Y*,GK,90,1,0,1,100.0,1,0.5,0,0,0,0,2,4,50.0,10,1,30.0,31.6,9,11.1,21.9,8,1,12.5,0,0.0
2021-02-13,Kasper Schmeichel,Matchweek 24,Home,W 3–1,Leicester City,Liverpool,Y*,GK,90,4,1,3,75.0,0,2.3,0,0,0,0,4,15,26.7,23,5,47.8,38.0,5,80.0,55.2,10,0,0.0,0,9.0
2021-02-21,Kasper Schmeichel,Matchweek 25,Away,W 2–1,Leicester City,Aston Villa,Y*,GK,90,2,1,1,50.0,0,0.8,0,0,0,0,2,12,16.7,18,2,44.4,40.4,7,57.1,44.6,11,0,0.0,0,10.0
2021-02-28,Kasper Schmeichel,Matchweek 26,Home,L 1–3,Leicester City,Arsenal,Y*,GK,90,3,3,1,33.3,0,2.3,1,1,0,0,12,17,70.6,34,6,38.2,35.9,5,80.0,46.0,10,3,30.0,0,19.5
2021-03-06,Kasper Schmeichel,Matchweek 27,Away,W 2–1,Leicester City,Brighton,Y*,GK,90,2,1,1,50.0,0,0.5,0,0,0,0,8,14,57.1,42,4,28.6,32.5,10,20.0,28.7,6,1,16.7,0,13.7
2021-03-14,Kasper Schmeichel,Matchweek 28,Home,W 5–0,Leicester City,Sheffield Utd,Y*,GK,90,0,0,0,0.0,1,0.0,0,0,0,0,2,4,50.0,33,2,12.1,26.5,0,0.0,0.0,5,0,0.0,1,22.3
2021-03-03,Kasper Schmeichel,Matchweek 29,Away,D 1–1,Leicester City,Burnley,Y*,GK,90,7,1,6,85.7,0,2.7,0,0,0,0,9,18,50.0,33,8,45.5,37.5,5,60.0,46.8,12,3,25.0,0,15.0
2021-04-03,Kasper Schmeichel,Matchweek 30,Home,L 0–2,Leicester City,Manchester City,Y*,GK,90,4,2,2,50.0,0,1.4,0,0,0,0,8,22,36.4,40,5,40.0,34.5,9,66.7,51.3,17,0,0.0,0,7.7
2021-04-11,Kasper Schmeichel,Matchweek 31,Away,L 2–3,Leicester City,West Ham,Y*,GK,90,4,3,1,25.0,0,2.2,0,0,0,0,7,14,50.0,39,7,33.3,32.3,2,50.0,43.0,5,0,0.0,1,16.0
2021-04-22,Kasper Schmeichel,Matchweek 32,Home,W 3–0,Leicester City,West Brom,Y*,GK,90,1,0,1,100.0,1,0.0,0,0,0,0,3,6,50.0,22,5,22.7,30.6,4,25.0,26.3,6,0,0.0,0,10.7
2021-04-26,Kasper Schmeichel,Matchweek 33,Home,W 2–1,Leicester City,Crystal Palace,Y*,GK,90,2,1,1,50.0,0,0.2,0,0,0,0,3,9,33.3,21,4,33.3,33.3,3,66.7,59.7,4,0,0.0,0,11.0
2021-04-30,Kasper Schmeichel,Matchweek 34,Away,D 1–1,Leicester City,Southampton,Y*,GK,90,2,1,2,100.0,0,1.4,1,1,0,0,3,4,75.0,14,3,28.6,35.0,1,0.0,24.0,0,0,0.0,0,19.0
2021-05-07,Kasper Schmeichel,Matchweek 35,Home,L 2–4,Leicester City,Newcastle Utd,Y*,GK,90,6,4,2,33.3,0,2.8,0,0,0,0,6,10,60.0,14,4,50.0,33.5,4,75.0,50.0,8,0,0.0,0,8.7
2021-05-11,Kasper Schmeichel,Matchweek 36,Away,W 2–1,Leicester City,Manchester Utd,Y*,GK,90,1,1,0,0.0,0,0.5,0,0,0,0,4,18,22.2,25,1,60.0,46.2,3,100.0,73.3,5,0,0.0,0,9.3
2021-05-18,Kasper Schmeichel,Matchweek 37,Away,L 1–2,Leicester City,Chelsea,Y*,GK,90,5,2,4,80.0,0,2.6,1,1,0,0,5,18,27.8,27,6,59.3,46.1,9,22.2,28.2,10,0,0.0,0,13.2
2021-05-23,Kasper Schmeichel,Matchweek 38,Home,L 2–4,Leicester City,Tottenham,Y*,GK,90,4,4,1,0.0,0,1.4,0,0,0,0,5,11,45.5,19,2,57.9,42.6,4,0.0,25.3,10,3,30.0,2,18.0
2021-01-16,Kiko Casilla,Matchweek 19,Home,L 0–1,Leeds United,Brighton,Y,GK,90,2,1,1,50.0,0,1.0,0,0,0,0,5,6,83.3,23,10,13.0,22.9,10,30.0,34.1,8,2,25.0,0,14.7
2021-05-18,Kiko Casilla,Matchweek 37,Away,W 2–0,Leeds United,Southampton,Y,GK,90,5,0,5,100.0,1,1.6,0,0,0,0,7,15,46.7,22,6,27.3,29.2,13,69.2,43.7,5,1,20.0,1,15.0
