Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
2021-02-03,Paul Bernardoni,Matchweek 23,Away,D 0–0,Angers,Reims,Y,GK,90,2,0,2,1.0,1,0.8,0,0,0,0,6,16,37.5,17,4,52.9,41.2,9,77.8,52.7,7,1,14.3,0,10.5
2021-02-07,Paul Bernardoni,Matchweek 24,Away,L 0–3,Angers,Nice,Y,GK,90,2,3,0,-0.5,0,0.9,0,0,0,0,4,10,40.0,15,1,33.3,35.1,6,83.3,62.2,5,1,20.0,0,
2021-02-07,Sébastien Cibois,Matchweek 24,Home,W 2–1,Brest,Bordeaux,Y,GK,90,4,1,3,.750,0,1.3,0,0,0,0,4,9,44.4,16,1,43.8,37.4,3,66.7,52.7,6,0,0.0,0,5.0
2020-12-23,Wuilker Faríñez,Matchweek 17,Home,W 2–1,Lens,Brest,N,GK,6,0,1,0,,0,1.0,1,1,0,0,1,2,50.0,1,0,100.0,103.0,1,100.0,63.0,2,0,0.0,0,8.0
2020-08-23,Paul Nardi,Matchweek 1,Home,W 3–1,Lorient,Strasbourg,Y,GK,90,1,1,0,.000,0,0.6,0,0,0,0,2,6,33.3,17,4,17.6,29.1,6,50.0,44.0,5,0,0.0,1,12.4
2020-08-30,Paul Nardi,Matchweek 2,Away,L 0–2,Lorient,Saint-Étienne,Y,GK,90,5,2,3,.600,0,1.3,0,0,0,0,5,8,62.5,17,7,35.3,29.6,7,28.6,30.6,8,0,0.0,1,16.3
2020-09-13,Paul Nardi,Matchweek 3,Home,L 2–3,Lorient,Lens,Y,GK,90,5,3,3,.600,0,2.3,1,1,0,0,6,17,35.3,19,3,52.6,43.8,8,87.5,67.6,11,1,9.1,1,14.5
2020-09-20,Paul Nardi,Matchweek 4,Away,L 2–3,Lorient,Brest,Y,GK,90,6,3,3,.500,0,2.1,0,0,0,0,6,16,37.5,20,10,45.0,36.4,11,63.6,53.6,9,0,0.0,0,12.9
2020-09-27,Paul Nardi,Matchweek 5,Home,D 1–1,Lorient,Lyon,Y,GK,90,6,1,5,.833,0,0.8,0,0,0,0,14,26,53.8,25,9,60.0,43.1,15,73.3,50.5,12,0,0.0,0,8.6
2020-10-04,Paul Nardi,Matchweek 6,Away,L 1–3,Lorient,Metz,Y,GK,90,7,3,5,.714,0,2.2,1,1,0,0,7,20,35.0,21,6,61.9,42.3,10,70.0,50.8,13,2,15.4,0,10.0
