Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
2020-12-22,Jordi Masip,Matchweek 15,Home,L 0–3,Valladolid,Barcelona,Y,GK,90,10,3,7,.700,0,4.9,0,0,0,0,2,15,13.3,19,5,52.6,44.4,10,50.0,43.4,4,0,0.0,1,13.7
2020-12-29,Jordi Masip,Matchweek 16,Away,D 0–0,Valladolid,Cádiz,Y*,GK,90,3,0,3,1.000,1,0.6,0,0,0,0,5,19,26.3,20,3,60.0,42.7,8,87.5,62.0,9,1,11.1,1,19.0
2021-01-02,Jordi Masip,Matchweek 17,Away,W 1–0,Valladolid,Getafe,Y*,GK,90,4,0,4,1.000,1,1.1,0,0,0,0,8,27,29.6,24,1,87.5,60.0,6,100.0,65.2,20,2,10.0,1,11.5
2021-01-10,Jordi Masip,Matchweek 18,Home,L 0–1,Valladolid,Valencia,Y*,GK,90,6,1,4,.833,0,0.8,0,0,0,0,11,27,40.7,23,2,78.3,52.7,9,100.0,72.2,10,1,10.0,0,15.8
2021-01-19,Jordi Masip,Matchweek 19,Home,D 2–2,Valladolid,Elche,Y*,GK,90,3,2,1,.333,0,1.6,0,0,0,0,6,8,75.0,18,5,38.9,34.6,4,25.0,35.8,7,1,14.3,2,15.0
2021-01-22,Jordi Masip,Matchweek 20,Away,D 2–2,Valladolid,Levante,Y,GK,90,3,2,1,.333,0,1.1,0,0,0,0,4,20,20.0,21,5,66.7,50.0,7,85.7,65.6,16,1,6.3,0,13.7
2021-01-29,Jordi Masip,Matchweek 21,Home,L 1–3,Valladolid,Huesca,Y,GK,90,5,3,2,.400,0,2.1,0,0,0,0,6,17,35.3,21,5,52.4,40.0,9,66.7,54.1,7,0,0.0,0,18.0
2021-02-05,Jordi Masip,Matchweek 22,Away,L 0–1,Valladolid,Alavés,Y*,GK,90,5,1,4,.800,0,1.4,0,0,0,0,9,23,39.1,20,5,65.0,46.0,12,83.3,60.0,10,0,0.0,1,20.1
2020-09-20,Alberto Cifuentes,Matchweek 2,Away,W 2–0,Cádiz,Huesca,Y*,GK,90,0,0,0,,1,0.0,0,0,0,0,9,35,25.7,28,1,96.4,64.8,8,100.0,68.0,11,1,9.1,0,13.5
2020-09-27,Alberto Cifuentes,Matchweek 3,Home,L 1–3,Cádiz,Sevilla,Y*,GK,90,6,3,3,.500,0,1.8,0,0,0,0,16,28,57.1,25,2,88.0,53.9,8,75.0,54.1,6,0,0.0,2,14.6
2020-11-01,Rubén Blanco,Matchweek 8,Home,L 1–4,Celta Vigo,Real Sociedad,Y,GK,90,7,4,3,0.429,0,4.0,0,0,0,0,5,14,35.7,25,5,56.0,38.6,4,0.0,20.0,7,0,0.0,0,12.6
2020-11-06,Rubén Blanco,Matchweek 9,Away,D 1–1,Celta Vigo,Elche,Y,GK,90,0,1,0,,0,0.9,1,1,0,0,2,8,25.0,18,6,27.8,32.0,9,33.3,26.8,15,0,0.0,0,11.5
2020-11-21,Rubén Blanco,Matchweek 10,Away,L 2–4,Celta Vigo,Sevilla,Y,GK,90,10,4,6,0.6,0,2.6,0,0,0,0,4,15,26.7,27,2,40.7,33.4,5,80.0,55.6,16,1,6.3,2,24.8
