Date,Name,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Passes Completed,Total Passes Attempted,Total Pass Completion Percentage,Total Distance travelled by Passes,Progressive Distance,Short Passes Completed,Short Passes Attempted,Short Passes Completion Percentage,Medium Passes Completed,Medium Passes Attempted,Medium Passes Completion Percentage,Long Passes Completed,Long Passes Attempted,Long Passes Completion Percentage,Assists,Expected Assist,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Shot-Creating Action,Completed Live-Passes that lead to shot attempt,Completed Dead-Passes that lead to shot attempt,Successful Dribbles that lead to shot attempt,Shot that lead to another shot attempt,Fouls drawn that lead to shot attempt,Defensive Actions that lead to shot attempt,Goal-Creating Action,Completed Live-Passes that lead to Goal,Completed Dead-Passes that lead to Goal,Successful Dribbles that lead to Goal,Shot that lead to another Goal,Fouls drawn that lead to Goal,Defensive Actions that lead to Goal,Actions that lead to opponent scoring own goal,Number of players tackled,Tackles Won,Tackles won in Defensive Third,Tackles won in Midfield Third,Tackles won in Attack Third,Number of Dribblers tackled,Dribbles contested,Percentage of dribblers tackled,Number of times dribbled past,Pressures,Successful Pressures,Successful Pressure Percentage,Number of times applying pressures in Defensive third,Number of times applying pressures in Midfield third,Number of times applying pressures in Attacking third,Number of times blocking the ball by standing in its path,Number of times blocking a shot by standing in its path,"Number of times blocking a shot that was on target, by standing in its path",Number of times blocking a pass by standing in its path,Interceptions,Number of players tackled plus number of interceptions,Clearances,Errors leading to an opponent's shot,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Midfield Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Dribbles completed successfully,Dribbles attempted,Percentage of Dribbles completed successfully,Number of players dribbled past,Nutmegs,Carries,Total Distance Carried,Progressive Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received Percentage
2020-12-19,Tete Morente,Matchweek 14,Away,L 1–3,Elche,Atlético Madrid,Y,"LM,RM",90.0,39.0,43.0,90.7,637.0,169.0,24.0,25.0,96.0,13.0,14.0,92.9,2.0,3.0,66.7,1.0,0.4,2.0,0.0,2.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,2.0,25.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,54.0,2.0,14.0,16.0,25.0,2.0,53.0,1.0,4.0,25.0,1.0,0.0,38.0,127.0,60.0,4.0,0.0,0.0,3.0,0.0,48.0,40.0,83.3
2020-12-22,Tete Morente,Matchweek 15,Home,D 2–2,Elche,Osasuna,Y,CM,45.0,15.0,20.0,75.0,233.0,7.0,10.0,11.0,90.9,4.0,5.0,80.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,26.0,1.0,6.0,15.0,5.0,2.0,26.0,0.0,0.0,,0.0,0.0,16.0,38.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,100.0
2020-12-30,Tete Morente,Matchweek 16,Home,D 1–1,Elche,Real Madrid,N,CM,17.0,4.0,6.0,66.7,45.0,11.0,4.0,4.0,100.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,20.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,6.0,2.0,0.0,10.0,0.0,0.0,,0.0,0.0,6.0,83.0,51.0,1.0,1.0,0.0,0.0,2.0,9.0,7.0,77.8
2021-01-03,Tete Morente,Matchweek 17,Away,L 0–1,Elche,Athletic Club,Y,"RM,LM",65.0,22.0,26.0,84.6,313.0,45.0,15.0,15.0,100.0,4.0,5.0,80.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,7.0,14.0,13.0,3.0,32.0,1.0,3.0,33.3,1.0,1.0,23.0,112.0,69.0,3.0,1.0,0.0,2.0,0.0,39.0,29.0,74.4
2021-01-24,Tete Morente,Matchweek 20,Home,L 0–2,Elche,Barcelona,N,LM,17.0,3.0,4.0,75.0,23.0,0.0,3.0,4.0,75.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,5.0,1.0,20.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,10.0,2.0,7.0,4.0,0.0,0.0,10.0,0.0,0.0,,0.0,0.0,6.0,15.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,85.7
2021-01-30,Tete Morente,Matchweek 21,Away,L 0–1,Elche,Valencia,Y,LW,90.0,19.0,28.0,67.9,346.0,69.0,12.0,17.0,70.6,5.0,6.0,83.3,2.0,4.0,50.0,0.0,0.2,1.0,2.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0,2.0,100.0,0.0,25.0,10.0,40.0,8.0,11.0,6.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,43.0,0.0,3.0,23.0,22.0,3.0,41.0,2.0,2.0,100.0,2.0,0.0,33.0,155.0,84.0,3.0,1.0,1.0,2.0,5.0,40.0,32.0,80.0
2020-09-27,Nemanja Gudelj,Matchweek 3,Away,W 3–1,Sevilla,Cádiz,Y,"DM,CB",90,85,91,93.4,1556,385,32,32,100.0,44,46,95.7,7,11,63.6,0,0.0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0.0,2,11,4,36.4,3,6,2,2,0,0,2,0,1,4,0,100,5,30,71,6,1,97,1,1,100.0,1,0,74,403,206,6,0,0,0,0,83,82,98.8
2020-10-04,Nemanja Gudelj,Matchweek 5,Away,D 1–1,Sevilla,Barcelona,N,CM,13,12,12,100.0,241,18,4,4,100.0,6,6,100.0,2,2,100.0,0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,1,25.0,4,0,0,0,0,0,0,0,0,1,0,13,1,6,9,1,0,13,0,0,,0,0,9,67,10,0,0,0,0,0,11,11,100.0
2020-10-24,Nemanja Gudelj,Matchweek 7,Home,L 0–1,Sevilla,Eibar,Y,"DM,CB",90,81,83,97.6,1660,462,27,27,100.0,40,40,100.0,12,14,85.7,0,0.0,0,3,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,3,4,75.0,1,11,3,27.3,8,3,0,2,0,0,2,1,6,1,0,93,9,61,34,5,0,91,1,1,100.0,1,0,57,341,177,2,1,0,2,0,70,70,100.0
2020-10-31,Nemanja Gudelj,Matchweek 8,Away,L 1–2,Sevilla,Athletic Club,N,"CM,DM",23,13,14,92.9,222,9,6,6,100.0,4,5,80.0,2,2,100.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,2,2,100.0,1,1,0,0,0,0,0,0,1,0,0,15,0,4,10,1,0,14,0,0,,0,0,8,18,12,0,0,0,0,0,11,11,100.0
