Date,Name,League,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SoTA,Goals Against,Saves,Save Percentage,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Passes Completed (Passes longer than 40 yards),Passes Attempted (Passes longer than 40 yards),Pass Completion Percentage (Passes longer than 40 yards),Passes Attempted,Throws Attempted,Percentage of Passes that were Launched,"Average length of passes, in yards",Goal Kick Passes Attempted,Percentage of Goal Kicks that were Launched,Average length of goal kicks,Opponent's attempted crosses into penalty area,Number of crosses into penalty area successfully stopped,Percentage of crosses into penalty area successfully stopped,Number of defensive actions outside of penalty area,Average distance from goal to perform defensive actions
19/9/20,Kevin Trapp,Bundesliga,Matchweek 1,Home,D 1–1,Eint Frankfurt,Arminia,Y,GK,90,4,1,3,75,0,1.3,0,0,0,0,6,13,46.2,32,5,31.3,30.1,7,42.9,34.6,7,1,14.3,0,9.5
25/9/20,Kevin Trapp,Bundesliga,Matchweek 2,Away,W 3–1,Eint Frankfurt,Hertha BSC,Y,GK,90,6,1,6,83.3,0,0.7,0,0,0,0,10,19,52.6,34,7,47.1,42.1,5,60,49.2,16,1,6.3,1,17.5
3/10/20,Kevin Trapp,Bundesliga,Matchweek 3,Home,W 2–1,Eint Frankfurt,Hoffenheim,Y,GK,90,3,1,2,66.7,0,1.3,0,0,0,0,12,23,52.2,38,7,50,39.3,7,57.1,49.9,6,2,33.3,2,18.4
18/10/20,Kevin Trapp,Bundesliga,Matchweek 4,Away,D 1–1,Eint Frankfurt,Köln,Y,GK,90,5,1,4,80,0,1.3,0,0,0,0,21,33,63.6,50,1,56,38.9,5,100,74.6,9,1,11.1,0,21
24/10/20,Kevin Trapp,Bundesliga,Matchweek 5,Away,L 0–5,Eint Frankfurt,Bayern Munich,Y,GK,90,9,5,4,44.4,0,4.1,0,0,0,0,8,18,44.4,24,5,58.3,44.3,9,44.4,38.6,10,1,10,0,11.5
31/10/20,Kevin Trapp,Bundesliga,Matchweek 6,Home,D 1–1,Eint Frankfurt,Werder Bremen,Y,GK,90,4,1,3,75,0,0.4,0,0,0,0,3,5,60,30,6,16.7,25.7,5,0,17.2,7,1,14.3,1,18.7
7/11/20,Kevin Trapp,Bundesliga,Matchweek 7,Away,D 2–2,Eint Frankfurt,Stuttgart,Y,GK,90,4,2,3,75,0,1.2,1,1,0,0,4,11,36.4,24,3,33.3,32.1,8,37.5,41.6,5,0,0,0,13
21/11/20,Kevin Trapp,Bundesliga,Matchweek 8,Home,D 1–1,Eint Frankfurt,RB Leipzig,Y,GK,90,2,1,1,50,0,1,0,0,0,0,11,32,34.4,45,8,57.8,40.6,7,85.7,55.6,12,0,0,1,12.9
28/11/20,Kevin Trapp,Bundesliga,Matchweek 9,Away,D 3–3,Eint Frankfurt,Union Berlin,Y,GK,90,6,3,4,66.7,0,3.4,1,1,0,0,6,14,42.9,35,5,31.4,32.5,7,42.9,39.4,11,1,9.1,1,16.2
5/12/20,Kevin Trapp,Bundesliga,Matchweek 10,Home,D 1–1,Eint Frankfurt,Dortmund,Y,GK,90,5,1,4,80,0,0.5,0,0,0,0,8,30,26.7,31,3,80.6,49.2,9,55.6,41.9,6,0,0,0,11.8
11/12/20,Kevin Trapp,Bundesliga,Matchweek 11,Away,L 1–2,Eint Frankfurt,Wolfsburg,Y,GK,90,8,2,7,87.5,0,3,1,1,0,0,9,26,34.6,40,8,57.5,42.8,9,33.3,33,11,2,18.2,2,13.5
15/12/20,Kevin Trapp,Bundesliga,Matchweek 12,Home,D 3–3,Eint Frankfurt,M'Gladbach,Y,GK,90,3,3,1,33.3,0,2.1,1,1,0,0,7,27,25.9,30,2,70,48,6,100,63.8,8,0,0,0,16.9
19/12/20,Kevin Trapp,Bundesliga,Matchweek 13,Away,W 2–0,Eint Frankfurt,Augsburg,Y,GK,90,4,0,4,100,1,1,0,0,0,0,10,22,45.5,33,8,45.5,38.7,13,53.8,43.6,11,2,18.2,1,15.5
2/1/21,Kevin Trapp,Bundesliga,Matchweek 14,Home,W 2–1,Eint Frankfurt,Leverkusen,Y,GK,90,2,1,1,50,0,0.2,0,0,0,0,11,25,44,23,2,69.6,50,9,100,67.6,10,0,0,1,12.4
9/1/21,Kevin Trapp,Bundesliga,Matchweek 15,Away,W 2–0,Eint Frankfurt,Mainz 05,Y,GK,90,1,0,1,100,1,0.2,0,0,0,0,13,28,46.4,40,4,57.5,39.6,8,62.5,48.9,10,0,0,0,8
